y_true;error;sentence
20-29;- - - -;Classifica età: CiAo!! Benvenuto!!! Dai dicci di più!!
30-39;10-19;Classifica età: ora aspetto recensione del fine palato che ha avuto onore di assaggiarli...
20-29;10-12;Classifica età: Francesca classica ragazza materialista, che guarda gli uomini per questo...Da quello che sta dicendo sul futuro marito..(Poveretto.)
20-29;e 40-49;"Classifica età: francesco leggiti ste anticipazioni che hanno registrato ieri del over che vedremo la prossima settimana che ridicola gemma cheche infantile che butta acqua su barbara,barbara falla nera sta gemma Oggi, lunedì 3 gennaio, si è registrata la nuova puntata. Si parte da un rvm che riguarda il pregresso tra Gemma e Barbara, la seconda criticava l’eterno scontento della prima nei confronti dei suoi corteggiatori, Gemma le imputava di tormentare un suo amico cantante per avere delle serate; oggi le due si fronteggiano al fine chiarire il punto. Gemma conferma che a suo tempo l’amico ha definito Barbara arrogante e invadente, ma Barbara vuole chiamarlo per sentire da lui la verità, perché ( l’amico in questione) si è detto scosso da quanto attribuitogli da Gemma; si apre una discussione che vede protagonista anche Antonio, al quale un agente dovrebbe proporre delle serate, nel frattempo l’amico (contattato dalla redazione)è in riunione…con Franco invece va tutto bene! Tema della sfilata odierna è Prova a resistermi; inizia Colomba che fa tutto da sola e vuole conquistare un uomo conturbante che si aggira nei corridoi del supermercato, reparto vini; Anahi e il suo staff la bocciano ma lei sfila e spiega il senso della sua performance, Tina pensa che l’uomo in questione, se la invita, sarà perché è ubriaco …Colomba restituisce la cortesia con riferimento al marito di Tina che non ci pensa un attimo a reagire da par suo. Elisabetta, che interpreta la casalinga, non va da Anahi e la stylist, con le sue assistenti, la bocciano senza pietà, i giurati non la premiano ma una new entry apprezza molto; Gemma si veste da infermiera sexy, la stylist la boccia, i voti sono alti ma Barbara, che ha seguito anche da casa le sfilate, nota che Antonio le dà sempre 10 e non lo trova corretto, altro scontro fra le due a proposito di fisico e ritocchi vari. Bruna immagina un dopoteatro e poi un brindisi a casa, Anahi la promuove e anche la giuria apprezza con ottimi voti; Isabella immagina una cena sexy per esaltare i cinque sensi e se la sbriga da sola, la stylist non ho parole dice bocciandola, ma i voti sono alti perché, come dice Gianni, è bella lei. Terzo round tra Barbara e Gemma che lancia velate minacce , Maria chiede di capire se le cose riguardano la trasmissione…Si riparte da Silvia che si veste da uomo per uno scambio dei ruoli, fa tutto da sola e Anahi la promuove a pieni voti, i giurati anche tranne il 5 di Adriano che la trova poco femminile. Anche Gabriella si veste da sola e immagina di sorprenderlo in ufficio; Claudia pensa a una cena in terrazza, voti discreti; Irene si fa vestire da Anahi , un abito elegante per lei molto apprezzato dai giurati e da Barbara – bella come una sirena – dice; Alessandra pensa a una sera a casa, stile 9 settimane e mezzo, buoni voti. In attesa della classifica, Gianni e Tina, Tinì e Barbara esprimono i loro pareri sulle ultime classificate; Gemma riprende la polemica con Barbara e insinua il suo interesse per il mondo dello spettacolo e le serate vivaci, Maria osserva che sono accuse gravi, Maria interrompe il tempo necessario per far cambiare Gemma e poi dà voce a Barbara per una sua replica, lei chiede di lasciar perdere i fatti privati perché altrimenti ne ha da dire anche lei, non c’è tregua fra loro, quindi anche Adriano, venuto per Gemma , chiamato in causa dice la sua su Gemma. Ma Barbara ha avuto o no frequentazioni esterne allo studio? E Gemma conosceva Ennio da vent’anni ? O sono solo chiacchiere? Antonio, combattuto tra Irene e Claudia, decide di continuare la conoscenza con la prima e balla con lei. Luigi sente e frequenta Colomba, al primo incontro lui ha usato espressioni importanti, al secondo è andato a trovarla a Viterbo, ma corre troppo ( in una telefonata le ha parlato di matrimonio) e le trasmette ansia, la storia mai cominciata è già finita. Tra Bruna e Carlo Alberto non è scattato il feeling e lei coglie l’occasione anche per chiarirsi con Giuseppe. Un contributo racconta il percorso di Rodolfo che oggi siede davanti ad Alessandra , è uscito con lei, ha passato una bella serata ma – non è scattato nulla – conclude, secondo Gianni non è sincero e finge interessi che non prova; Rodolfo, pur volendosi innamorare decide di ritirarsi. Anche tra Graziano e Isabella la storia si chiude, la formula è la stessa- non è scattata la molla – nonostante un week end insieme, Francesca invece lo attacca, Graziano si è lamentato con la redazione dei termini che usa nei suoi confronti e chiede perché non lasci lo studio con Guido, Gianni pensa che siano d’accordo, lui reagisce d’impeto si dice pronto ad andare via, ma lei ha detto alla redazione che si sente più protetta in studio…si discute di questo ma poi escono insieme felici. Quattro new entry per Graziano, ne resta una. Arriva il galante Giuseppe per conoscere Colomba ma non è il suo tipo. Gabriella è uscita sei volte con Sergio ma non è andata bene, in seguito ha visto Luca e si sono baciati, mentre Sergio ha visto Rossella, con la quale è entrata subito in sintonia e l’ha baciata! Luca non è entusiasta del quadretto e spera che le sue emozioni siano reciproche… Il testimone  di Gemma e Barbara non è disposto a intervenire in trasmissione, le due ricominciano a bisticciare, Barbara la imita e Gemma le getta dell’acqua per schiarirle le idee. Quattro signori arrivano per Silvia; formidabile esibizione di Giuliano durante un ballo, suscita l’entusiasmo del pubblico e Maria lo invita a riproporlo! Arriva Giuseppe per la signora Maria; si presenta Adriano, medico geriatra e balla con Gemma."
0-19;10-19;Classifica età: Troppo bello, ma la seconda stagione cade un po..
0-19;e le 20;"Classifica età: Il porto era un luogo molto indaffarato, mercanti scaricavano le loro merci nelle navicelle d'esportazione mentre altri facchini prendevano quelle da importazione, i beni erano di diverso tipo si spaziava dai generi alimentari ai vestiti, dagli arredamenti a materiali di costruzione, quindi materie prime, semilavorati e prodotti finiti. Yuzu decise quindi di dirigersi in direzione del center, avrebbe potuto chiedere informazioni e saziare la propria curiosità, < Salve, di cosa hai bisogno? > gli disse l'alieno posto dall'altra parte del bancone, la stanza era unica ma molto grande con diverse postazioni, in modo da limitare grosse file e risse per chi arrivasse prima, < Uhm.. Mi è stato dato questo > Disse schiarendo la voce e porgendo lo scatolone che pochi momenti prima gli era stato assegnato, il centralinista l'osservò e diede una lettura veloce all'elenco e al biglietto, < Deve andare alla Zona 5 e salire sulla navicella numero 13, è di sua proprietà, la usi come meglio crede, le cordinate sono codeste. > Poi gliele scrisse per bene sul foglio continuò comunque nella spiegazione mentre il soldato continuava a scuotere la testa in senso di approvazione, < Per inserire le cordinate è semplice ci sono due pannelli, in uno c'è scritto Y ed inserisci il seguente numero, nell'altro c'è riportato X ed inserisci il seguente numero, è un viaggio di pochi minuti e la navicella andrà da sola, tu potrai riposarti comodamente. > Poi lo congedò con un cenno e gli strinse la mano < C'è bisogno di gente come lei per l'impero negli ultimi tempi..> disse abbassando lo sguardo, Yuzu non capì ma sorrise, riprese lo scatolone e andò via, cercò per un po' di tempo la Zona 5, sembrava un vagabondo senza meta, dopo averla trovata non fu difficile dirigersi alla sua navicella, l'osservò, era semplice, era bianca con una cupola rossa ed aveva una forma vagamente circolare, vide il telecomando posto all'interno di esso ma protetto come dire da una barriera magnetica, "" Passare tessera. "" una voce elettronica lo ammonì subito quando cercò di avvicinarsi ad esso, notò sotto di esso un passascheda e la passò, < Benvenuto YOI 1231. > la stessa voce simulata gli parlò, lo scudo magnetico si dissolse nel nulla, prese il telecomando a due tasti ed aprì lo sportello, non fece nemmeno rumore e sali. < Non dovrebbe essere difficile..> disse fra se mentre inseriva le cordinate come precedentemen spiegato, sul monitor apparì la seguente scritta: ""Pianeta Segmel, tempo di arrivo 12 virmeri. "" < Virmeri?.. > esclamò con un po' di disappunto, non conosceva quella unità di misura del tempo in ogni caso il portellone si chiuse e la navicella partì ad alta velocità verso il sistema solare da lui scelto. Il viaggio non fu molto lungo, dopo breve tempo era già arrivato a destinazione, lo spazio porto questa volta era molto più grande e intersecato da decine di tunnel e corridoi, anche la popolazione era diversa, erano presenti, si, i mercanti, ma squadre di soldati, capitani, tenenti, maggiori, capo squadra, civili e perfino il bestiame si spostava da quella zona, Yuzu passò tranquillamente per la zona, nessuno era interessato a lui, ci sarebbero stati i motivi, ma visto che era sconosciuto non c'era motivo di fermarlo, si recò nuovamente all'ufficio d'informazione anch'esso enorme ma dovette fare la fila, davanti a lui c'era un altro alieno, basso, con la testa di color arancione e a punta, snello e con le braccia incrociate, < Ehilà, anche tu in cerca di una missione?.> Gli chiese notando, anche per passare il tempo visto che ci sarebbero voluti all'incirca una decina di minuti terrestri. < No.. No, sono in cerca di informazioni per questo pacco. > disse indicandolo visto che precedentemente lo aveva appoggiato a terra e continuava a spostarlo brevemente con il piede destro, < Una nuova recluta! Buona fortuna allora! > Poi iniziò a ridere e gli diede una pacca sulla spalla, < Scherzo, anchio sono nuovo, mi hanno integrato circa ieri. > disse abbassando un po' lo sguardo, < Guarda, ti accompagno io dove devi andare, seguimi. > poi gli fece cenno di venire, < Mah.. > Yuzu era già confuso di suo e queste relazioni frettolose lo continuavano a confondere ancora di più, ma si decise a seguirlo, non aveva nulla da perdere in ogni caso. < Quale sarà la nostra prossima mossa?. > Una specie di rettile, chiese ad una figura umanoide minuta seduta su una specie di sedia volante che continuava a sorseggiare dell'idromele da un bicchiere di vetro finissimo. La figura si alzò e si spostò lentamente in avanti, bevve un altro sorso e poggiò il recipiente nel suo porta bicchiere personale, era basso, la testa tonda e cornuta, le labbra viola, gli occhi neri e indossava un'armatura con due grossi spallacci ai lati. < Carissimo, continuare con il reclutamento di nuovi soldati è di maggiore priorità, continuate anche gli esperimenti, dobbiamo vincere questa guerra. Sono stato chiaro? > l'alieno era calmissimo ma continuava a passeggiare per la sala con tranquillità continuando a parlare fino a quando non si fermò e gli venne data la risposta, < Certamente signore, sarà fatto. > poi si congedò con un saluto militare e ricevuto il consenso lasciò l'aula. Ne entrò subito un altro, di fretta che si inginocchiò sul lunghissimo tappeto rosso che si allungava dalle porte d'ingresso al trono, < Saluti, Richiedo il permesso di parlare. > L'alieno minuto gli diede il consenso, < Accordato. > non ci volle molto e l'extraterrestre sottoposto di mise in piedi e sull'attenti, cominciò a parlare senza osservare negli occhi il suo presunto capo. < Siamo in emergenza sul pianeta militare Segmel si sta avvicinando una flotta ostile, abbiamo diverse squadre di combattimento e nuove reclute, più famiglie e importanti commercianti, cosa dobbiamo fare? > Disse rapidamente, con un tono appassionato e abbassando lo sguardo quando porse la domanda, < Invia rapidamente delle navi di supporto, con qualche unità veterana.. > poi lo fulminò con lo sguardo facendosi intendere, < Invia anche uno di loro.. > poi lo congedò senza aspettarsi risposte e spiegazioni e il sottoposto andò via. "" Dobbiamo vedere davvero se possono rilevarsi utili."" Yuzu stava seguendo tranquillamente il suo nuovo amico, che gli raccontava dell'addestramento e di quello che aveva dovuto passare nell'accademia per farsi accettare gli allenamenti estremi e le donne la sera, < E tu? > gli venne chiesto nel mezzo del discorso. All'alieno da poco svegliato gli si fermò il cuore nuovamente, e la mente non sapeva dove andare a parare, non sapeva nulla di se stesso e continuava a cercare la verità su di se, del perchè e di cosa era successo, un altro flash lo colpì nel mezzo della discussione dovette inginocchiarsi a terra. < L'hai fatto tu eh cucciolo? > poi gli venne dato un colpo sulla testa, < Non chiamarmi più cucciolo! > e si arrabbiò, incrociò le braccia e se ne andò. < Ehi amico, tutto bene? > Disse l'alieno conoscente vedendolo mettersi a terra, < Si, tutto bene, più o meno le tue stesse difficoltà.. > poi calò la vista nuovamente, aveva avuto un altro giramento di testa, ma nulla di grave. < Ah, vieni ti do una mano. > lo tirò su con determinazione e gli porse la mano, < Il mio nome è Gurka. > Disse con tranquillità, Yuzu si fece aiutare senza vergogna e gli afferrò la mano. < Io sono Yuzu. > poi continuarono a camminare verso la zona decisa precedentemente, uno parlava in continuazione con l'entusiasmo da nuova recluta, l'altro stava zitto ed ascoltava assimilando le informazioni. < Entra pure, ti aspetto qui. > poi Gurka si sedette nel marciapiede affianco e accese una sigaretta con i polpastrelli, Yuzu entrò in una specie di ambasciata, venne subito fermato e venne richiesto il riconoscimento, gli venne fatto appoggiare velocemente lo scatolone a terra, < Questa è la mia tessera di riconoscimento.. > e la porse visto che comunque era rimasto spaventato dalla massa dei cinque bruti che lo fermarono, < Esperimento YOI 1231, hai il permesso, dirigiti in quella stanza. > Poi venne portato rapidamente da uno di loro, "" Ancora esperimento.. non sono un esperimento.. se è vero che mi hanno curato, dovrebbero conoscermi, che abbia perso davvero la memoria? "" pensò mentre venne mollato davanti una porta rossa che si aprì da sola, entrò < Saluti. > Disse ma non notò nessuno nella stanza ma sentiva un certo rumore come se qualcuno stesse frugando nella scrivania davanti a se, < Salve, mi scusi. > disse rimettendosi in una sistemazione più professionale, < Si accomodi. > e gli indicò la sieda dove andarsi a sedere, < Quindi tu saresti.. Yuzu? Non ti chiamerò esprimento bla bla, troppo impersonale, il mio compito è spiegarti perchè tu sei qui. > gli disse incrociando le dita della mani e appoggiandole sul tavolo, l'alieno che aveva viaggiato fino ad adesso annuì, sperando in cuor suo di trovare informazioni importanti."
0-19;e il 20;"Classifica età: Ooook ragazzi, rispondo qui agli ultimi commenti. >Kranor Grazie, e per il fatto di Xamil no, uhm, non è voluto ._. Neanche l'ho finito di leggere RZ! (Lo so che devo  ) Sulla canonizzazione di Slug non posso dire nulla, ovviamente U_U lo capirai (prima o poi, s'intende!) >Vins No  in realtà diciamo che più che una citazione è un miscuglio di riferimenti, in varie battute dei personaggi  mi sorprende che non ci sia ancora arrivato nessuno...  In ogni caso, buona lettura!  Capitolo 1 – PRELUDIO Il sole baluginante era ancora basso sull’orizzonte, in quella fresca aurora di Maggio. Su quel minuscolo sasso spaziale dai colori dell’erba e del mare, quel pianetucolo insignificante comunemente chiamato Terra, piccoli uomini vivevano le loro piccole grandi vite. Pochi si preoccupavano di cose più grandi del proprio mondo, spesso limitato a quattro mura e qualche stradina familiare; i più, infatti, erano ignari della maggior parte dei pericoli che quel mondo aveva corso, nel tempo. Molti sceglievano semplicemente di ignorarli, anche se, vari anni prima, il rintocco della campana era stato tanto sonoro da essere udito persino dai più sordi – o compreso dai più stupidi. Per un brevissimo tempo, infatti, lo scranno di Re del Mondo era stato occupato da un demone, un essere malvagio che da tempo immemorabile covava un odio viscerale per il pianeta Terra e per tutti i suoi abitanti. Un demone chiamato Piccolo. Per quanto un nome del genere possa suscitare ilarità in chi lo apprenda, per i veterani di quella specifica battaglia – conclusasi con la morte (e reincarnazione susseguente) del demone stesso – il nome del Grande Re Demone Piccolo rimaneva sinonimo di sventura, distruzione e potenziale annichilimento del mondo. Oh, quanto hanno ragione. La suddetta reincarnazione del Demone era, per inciso, ancora viva. Presentatosi al Torneo Mondiale (Tenkaichi) di cinque anni prima, anch’egli – come suo padre del resto – prese una sonora batosta da un ragazzino con la coda da scimmia, tale Goku, che però lo lasciò in vita; un affronto intollerabile agli occhi dell’essere, secondo la cui concezione il mondo si poteva riassumere in cinque parole: pesce grosso mangia pesce piccolo. Quell’atto di stupida misericordia non gli era ancora andato giù, perfino dopo cinque lunghissimi anni; e giorno dopo giorno continuava ad allenarsi per superare in potenza la sua nemesi, nella speranza, prima o poi, di arrivare allo scontro finale con il coltello dalla parte del manico. Improvvisamente, Piccolo si sdoppiò. I due Piccolo si misero in posizione, un ghigno malefico dipinto specularmente su entrambi i volti.  Urlando come un assatanato, partì all’assalto. Cominciò lui; mettendo una mano in faccia al suo doppio, gli sbatté violentemente la testa contro la dura roccia, creando un cratere di dimensioni rispettabili. Piazzando due dita unghiute negli occhi del suo avversario, lo fece ululare di dolore, partendo poi in quarta e strusciandogli la testa per tutta la lunghezza di quello che assomigliava a un campo di battaglia, di fatto arando la nuda pietra a mezzo testa di Piccolo. Poi, sentì un dolore bruciante nel palmo della mano. Cieco, dolorante e – ormai – con il mal di testa, certo; ma ancora senza pietà, esattamente come l’originale. Non appena resosi conto di quello che stava succedendo, non aveva esitato a far partire un raggio dalla bocca che era fin troppo vicina al palmo della mano dell’altro; una buona occasione per ribaltare la situazione. Non aveva bisogno degli occhi per vedere: ogni cosa, in natura, aveva una propria energia, e bastava sentire quella per guardare – come fosse stata un’immagine ai raggi infrarossi – il mondo che lo circondava. Mirò un pugno alla testa del demone, lasciandosi andare a un ghigno malvagio al suono di un naso rotto; non poteva dargli tregua, o si sarebbe rigenerato. Prendendolo per un braccio, ebbe l’appiglio per tirargli una ginocchiata al mento, seguita da un ulteriore calcione con il piede di richiamo; successivamente, volò in alto, caricando un colpo di ki bello potente, mentre l’altro, ancora stordito, cercava di riprendersi. Allargò ulteriormente il ghigno, come faceva sempre al baluginare di un’idea. E la vincerò io. Il colpo dell’altro continuava a caricarsi, lì sopra, Decise di far finta di essere ancora dolorante, per spingerlo a rilasciare il colpo energetico. Si concesse un secondo per pregustare le gioie di avere finalmente una vita propria; era stufo di essere semplicemente un piccolo frammento di anima, che vedeva come uno spettatore una vita che non era più sua; stufo di essere considerato come un mezzo per raggiungere uno scopo.  Un cipiglio prese forma sul suo viso; non gli piaceva dove stava andando a parare questa riflessione.   Dov’ero rimasto? Ah già: MUORI! Quando il raggio gargantuesco cadde a piombo su di lui, il demone era pronto. , si disse ridacchiando. Riprendendosi d’un tratto, distese repentinamente tutto il suo corpo, liberando in un istante tutta la potenza (per quanto dimezzata) di cui disponeva in uno scoppio energetico di proporzioni apocalittiche, vagamente reminiscente dell’esplosione di una bomba atomica da svariati megatoni: la Chobakuretsumaha, o Esplosione demoniaca massima. Il bagliore dal pallore sinistro si propagò a una velocità impressionante, sconfinando dal campo di battaglia e sfiorando una baita di montagna da tempo disabitata – Dell’altro non c’era più traccia; lo confermava anche il fatto che la sua potenza era tornata integra, segno che la copia, prima di venire distrutta, aveva fatto ritorno al suo corpo, ammettendo così la propria sconfitta. So che mi stai guardando, Goku. Ti darò una lezione di stile che ricorderai per una vita intera, pensò ridendo di gusto. Tutta l’energia che aveva liberato cominciò di colpo a ruotare attorno a lui, avvolgendolo di una vaga luminosità ardente; manovrandolo con le mani, fece raggiungere al suo ki altezze elevatissime, prima di farlo ricadere a terra, creando l’ennesima catastrofica esplosione che si aggiungeva a tutti gli altri buchi e bucherelli, facendo di fatto assomigliare il ring di allenamento del Grande Re Demone Piccolo a una forma di buon formaggio. Rise allo spettacolino di luci che, a qualche decina di chilometri da lui, il Demone stava mettendo in scena, mentre il ki dell’altro si abbassava, segnalando la fine del suo allenamento. E’ il mio turno, credo. Tra i due, in questi cinque anni, si era costituito un rapporto di tacito rispetto; ognuno seguiva – a debita distanza – gli allenamenti dell’altro, e ne traeva informazioni utili per il loro futuro scontro finale. Era diventata quasi una sorta di sfida: chi dei due, al termine dell’allenamento del mattino, avrebbe messo in scena la combinazione di colpi di ki più appariscente si sarebbe sentito vincitore. Sorrise, mentre guardava un sottile tratto dell’orizzonte illuminarsi. La comparsa del disco solare segnava il suo turno di dare spettacolo. Improvvisamente, lo sguardo nei suoi occhi cambiò, e nelle sue mani cominciò a formarsi la caratteristica sfera bluastra che era diventata la foggia di una scuola intera. Una goccia di sudore apparve sulla sua fronte; la fatica a cui si stava sottoponendo per tenere così tanta potenza concentrata in così poco spazio era qualcosa di non indifferente. Inoltre, la tecnica emanava anche un certo calore, oltre alla classica luminosità quasi accecante; il cuore era oramai a mille, non sapeva quanto ancora avrebbe resistito.  Divenne rosso in volto, ancora ragazzino sotto questo punto di vista.  , pensò molto più timidamente. Separò le mani, lasciando quella terrificante concentrazione di energia sotto la guida di un solo braccio. Una parte di essa rischiò addirittura di scappargli, e ci volle tutta la sua maestria nel controllare il ki per tenerla al suo posto; la sfera in ogni caso aveva assunto contorni frastagliati, instabili, e Goku sapeva che questo non andava bene, che non aveva ancora perfezionato la tecnica in maniera ottimale.  AAAAT-CHOUMMMM!!! Si allarmò immediatamente, mettendosi in posizione da combattimento; chiunque non si fosse spaventato di fronte a un suo allenamento e, soprattutto, non si fosse fatto vedere fino ad allora era da considerare un potenziale nemico…  , pensò, e questo non mi dispiacerebbe affatto. Localizzatone, però, il ki – per quanto fievole – tutto gli fu chiaro; improvvisamente, un sorriso largo tutto il suo volto fece la sua comparsa, e gli venne l’idea di prendere di sorpresa il suo misterioso assalitore… Le foglie secche crepitavano mentre si faceva strada tra gli alberi, avvicinandosi all’obiettivo; e tuttavia, appena fu esattamente dietro il punto dove aveva avvertito la sua aura, sentì una mano che lo colpiva dietro la testa, proprio lì dove non poteva vedere nulla. Sono qua dietro, tontolone! Avrai anche il potere dell’universo, ma a quanto pare se c’è qualcuno che può sorprenderti quella è davvero tua moglie… No, non è vero si difese lui in tono un po’ comico e un po’ presuntuoso sapevo perfettamente dove fossi! Ma per favore lo canzonò dolcemente se questo fiore non mi avesse pizzicato il naso, staresti ancora a fare il cretino in quello spiazzo. Sbaglio? Le parole avrebbero potuto far pensare a un rimprovero, ma il tono che Chichi aveva usato portava tutto su un piano completamente differente e mille volte più incantevole. Il sole nascente, i cui primi raggi dorati sfregavano le chiome degli alberi, le incorniciava il volto in maniera perfetta, e il soave sorriso che gli rivolse completava il quadro perfetto. Il tenero abbraccio a cui si abbandonarono immediatamente dopo era semplicemente l’espressione di tutte le parole che per Goku era semplicemente troppo complicato pronunciare.  , si disse lei, … Rise fra sé, badando bene a non farlo notare all’altro. Subito dopo, però, ritornò seria. Goku gli sussurrò all’orecchio stai attento a Gohan domani… ho ancora gli incubi se ripenso al Torneo. Non voglio per Gohan – né per te, pensò senza dirlo apertamente – quel tipo di futuro. Questo mondo, questa famiglia ha visto abbastanza combattimenti, abbastanza lotte. Non sei d’accordo? Chichi replicò lui, anch’egli in un sospiro, capendo che quella frase era rivolta anche a lui allenarmi non è un obbligo che mi sono preso. Essere pronto a combattere per il mondo non solo è un mio dovere; è il mio ossigeno, la mia aria, il mio cibo. Non riesco a farne a meno, e non come una droga, ma in positivo. E’ ciò che mi riesce bene, ed è ciò che sento sia giusto fare. Riprese fiato. La parte più problematica era detta. Condivido però la tua visione su Gohan: più lontano è da questo mondo, meglio è. E probabilmente stai facendo molto di più tu, per proteggere nostro figlio, di quanto non stia facendo io. Sospirò nuovamente. Per quanto riguarda me, però, questo è qualcosa che devo fare davvero. Nella mia esistenza non c’è nulla di più importante delle arti marziali – a questo poté sentire sua moglie tendersi come una corda di violino – ma sappi che la mia vita ha due nomi… e sono Chichi e Gohan. Le sollevò il viso, mettendole un dito sotto il mento; e per un istante, non si sarebbe potuto distinguere l’uno dall’altra, contro il sole oramai già per metà sopra l’orizzonte. Wow, Goku mormorò lei come hai fatto a non inciamparti neanche su una parola? Le arrivò un sussurro di risposta, in un tono un po’ irriverente e un po’ compiaciuto. Perché, dovevo? Goku non si accorse della perfetta sfera bluastra che controllava, inconsciamente, con una sola mano, fino ad allora. Quando la notò, sorrise, e sciolse il braccio destro dall’abbraccio, mantenendo però sempre una presa salda con l’altro, e parlò di nuovo. Ora, salutiamo l’alba in maniera opportuna. Un lungo giorno – ahimè, con Muten – attende me e Gohan. Comportati bene mentre non ci sono. Estese il braccio, lasciando andare la più potente Kamehameha che avesse mai controllato. A mezz’aria, infine, la fece esplodere in migliaia di scintille che incorniciarono il sorgere del sole, rimanendo nell’aria come una nebbia cristallina. Poi, qualcosa in cielo attirò l’attenzione di sua moglie. Oh, guarda, Goku! Una stella cadente! Esprimi un desiderio! Una precisazione:"
40-49;  2 2 2;Classifica età: Ottima segnalazione appena va in onda ci fai sapere.
20-29;10-19;Classifica età: Federica sta parlando da sola..come se si ripetesse un mantra..ma non capisco che dice...
30-39;0 - 90;Classifica età: Che fortunato che sei Andry. Invidia allo stato puro... Buona pescaaaaaa
