y_true;error;sentence
1;moto moto;Classifica argomento: HAHAHA Figurati nach, la mia moto andava forte, altronde il motore è stato fatto bene, però ai bassi continuava ad ingolfarsi. Io non son buono di mio, era in rodaggio, era la prima volta che la guidavo, mi sà che quello che andava piano imbarazzato ero io! Hihi Dopo 2 giri i polsi non mi tenevano più! Comunque poi con calma metto un piccolo video che mi hanno fatto.
5;animali;"Classifica argomento: le cose belle meritano ovazione. il cagnolino ripresentato e un tipo di ""ratier"" inglese....non o piu il nome,ma e di razza nobile!!.. scottich terrier..... eccolo qui in famiglia."
1;moto;Classifica argomento: Le moto o parti di esse gliele portiamo noi  Ecco com'era danneggiato il mozzo in magnesio del mio KTM 125 Il cuscinetto cadeva dalla sede ed era saltato il bordo contenente la gola in cui il seiger avrebbe bloccato il cuscinetto in sede... Giuseppe di Saldatura Service, ha ricaricato il magnesio tramite saldatura... Dopo la lavorazione al tornio, prima prova di montaggio a interferenza del cuscinetto e verifica del lavoro di ricostruzione della sede del seiger.... Ovviamente tutto ok e a quel punto il mozzo ha ricevuto le ultime rifiniture nel punto di riparazione......Ho la ruota posteriore in uso oramai da quasi tre anni...il lavoro è definitivo...
1;pneumatici automobili;Classifica argomento: Una volta gonfiate tutte le gomme devi rimemorizzare il valore della nuova pressione di gonfiaggio, selezionando la funzione dalla leva e poi premendo per qualche secondo il pulsante per la memorizzazione.. .
1;moto moto;Classifica argomento: come da titolo vendo KTM 350 GS del 1980 . motore rifatto e preparato .accensione ad anticipo variabile .il tutto in ottime condizioni chi mi conosce sa che anche se ha fatto qualche gara di gr.5 non ha mai visto la totale apertura del gas fiche FMI e documenti regolari per passaggio di proprietà prezzo 3000€ per rugginosi ( in vendita su altro sito a 3500 )
3;acqua;Classifica argomento: Che ho ripescato io oggi insieme alla seconda e alla terza....         Comunque voglio dirlo pubblicamente : secondo me il 70% dei passisti che si vedono sui nostri fiumi pesca abbastanza male. Del rimanente 30% che non mette troppi grammi nè troppo pochi, che non perde due ore a sondare e poi si ritrova comunque a un metro e mezzo dal fondo, che non butta a casaccio chilate di pastura e centinaia di retine (facendo prendere pesci al ledgerista più a valle  ), che non se la fa addosso appena un cavedanello di 4 etti minaccia (dicono loro) il prezioso 0.0043 con cui hanno legato l'amo del 324, io ho il pacere di conoscerne uno. Quindi un affettuoso arrivederci a presto (così ti rendo le tue retine  ) GRAAANDE MAX!
0;bevande;Classifica argomento: Ingredienti Aglio: 1 spicchio Baccalà ammollato: 500 g Cachi: 2 Cipolla: 50 g Olio extravergine di oliva: 100 g Polenta: 400 g Polpa di pomodoro: 250 g Sedano: 50 g Verza: 800 g Vino bianco: 1 dl Preparazione In un tegame, fate rosolare l’aglio e la cipolla con un filo d’olio, quindi unite il baccalà tagliato a pezzi. Quando sarà dorato, aggiungete il pomodoro a pezzi e sfumate con il vino, quindi lasciate cuocere per 20 minuti circa. A parte, preparate una polenta morbida facendo bollire la farina in un litro d’acqua con un cucchiaio d’olio e una presa di sale. Sbucciate i cachi e, con l’aiuto di una forchetta, ottenete una purea. Versate infine nel piatto la polentina, disponetevi sopra il baccalà in umido e cospargete con una cucchiaiata di purea di cachi.
0;birra;Classifica argomento: Ingredienti 4 Zucchine 3 Uova 140 grammi di Farina 20 grammi di Parmigiano Reggiano 250 grammi di Mozzarella 33 centilitri di Birra 2 prese di Prezzemolo 2 prese di Sale 1 pizzico di Pepe nero Preparazione Lavate e spuntate le zucchine. Asciugatele con un panno e grattugiatele con foratura a goccia. Mettete le zucchine a bagno con la birra per 30 minuti. Nel frattempo preparate la pastella: mettete in una ciotola la farina, le uova, il parmigiano e il prezzemolo, mescolate fino ad ottenere un composto liscio e omogeneo. Trascorsi i 30 minuti, scolate le zucchine dalla birra e asciugatele con un panno. Tagliate la mozzarella a cubetti e mescolatele delicatamente con le zucchine e la pastella. Con l’aiuto di un coppapasta fate tante frittelle, disponendole su una teglia ricoperta di carta da forno. Infornate le vostre frittelle di zucchine alla birra a 180°C per circa 25 minuti, fino a doratura desiderata.
0;.;"Classifica argomento: Ingredienti 300 grammi di Farina di grano duro o semola 100 grammi di Farina integrale 12.5 grammi di Lievito di birra 5 cucchiai da tavola di Olio extravergine d'oliva (EVO) 200 grammi di Pomodori ciliegini 1 Cipollotto fresco, di Tropea 60 grammi di Olive nere, Taggiasche 1 cucchiaio da tavola di Origano essiccato 2 prese di Sale 1 pizzico di Pepe nero Preparazione Sciogliete il lievito di birra in 100 ml di acqua tiepida assieme a 3 cucchiai di olio evo e a un pizzico di sale. Quindi setacciate le farine sulla spianatoia, formate una fontana e versatevi al centro il lievito diluito e l’acqua fredda che occorre per ottenere una pasta liscia, morbida, ma consistente. Modellate la palla, copritela con un canovaccio pulito e lasciatela lievitare in un luogo tiepido per circa 2 ore. Nel frattempo lavate e tagliate a metà i pomodorini, mondate ed affettate la cipolla ad anelli. Ungete una teglia da forno fate aderire la carta da forno e stendete la pasta, allargatela con le mani. Distribuitevi i pomodorini schiacciandoli leggermente, gli anelli di cipolla e le olive; profumate con l’origano, aggiustate con un pizzico di sale e irrorate con l’olio evo. Mettete la focaccia in forno caldo a 200° e fate cuocere per circa 25 minuti, fino a quando la superficie non sarà dorata e croccante."
6;capelli;"Classifica argomento: Ciao, io ho iniziato Tecfidera a giugno dell'anno scorso. All'inizio perdevo anch'io i capelli, ma non è un effetto diretto del farmaco. E' il fegato. Finché i valori epatici restano alti, i capelli cadono (non a ciocche per fortuna, ma più del normale). Se ricordo bene dopo un paio di mesi nel mio caso è migliorato ^^ @poodle8: considera che adesso è anche periodo di cambio di stagione. E' normale perdere più capelli del solito  Somma le due cose e ottieni una caduta esagerata. Io ti suggerisco di evitare i lavaggi troppo frequenti e i prodotti troppo aggressivi; io uso uno shampoo biologico di una linea che si chiama teanatura; dopo un po' di tempo si nota una gran differenza"
