y_true;error;sentence
7;fumo fumo;Classifica argomento: dobbiamo abbattere la cupola via beppe poi sarà anche il turno di suo fratello
7;fumo fumo;Classifica argomento: perchè poi le sa che c'è l'ex in casa perciò si è studiata tutto una volta saliti lei farà la scena della sedotta e abbandonata
7;fumo fumo;Classifica argomento: Grande Roberto uscirai a testa alta la raccomandata di chicca comprerà i voti ancora una volta noi siamo in tantissimi a sostenerti ma vince sempre la falsità fuori chicca anche se so che è solo illusione
7;舅;Classifica argomento: In casa sono chiusi in camera Cantina tutti in confessionale
7;舅;Classifica argomento: É una vergogna in casa non sanno parlare l'italiano Parla meglio samba
7;舅;Classifica argomento: allora io che sono della Sardegna se vado in tv parlo il sardo è una questione di educazione e di rispetto x chi ascolta
7;舅;Classifica argomento: quando è iniziato il gf quest'anno c'erano un sacco di novità i ragazzi erano speciali per carità uno peggio dell'altro parlano tutti in dialetto e non si capisce nulla
7;舅;Classifica argomento: francesca discute con greta x le pulizie francesca non si capisce nulla di ciò che dice
7;舅;Classifica argomento: Comunque x ora non ce nessuno di interessante noiosi e privi di iniziativa
7;舅;Classifica argomento: ma michele rimarrà a petto nudo x tutto il tempo
7;舅;Classifica argomento: Valentina parla con diletta di quanto il suo fidanzato ami i bambini
7;舅;Classifica argomento: Aspetto con ansia le nomination sperando esca il prima possibile l' analfabeta Francesca
7;舅;Classifica argomento: Greta scrive su un cartoncino Ma qandò usano i pennarelli in casa
7;舅;Classifica argomento: Da che pulpito Francesca Almeno Modestia si capisce con lei ci vogliono i sottotitoli
7;舅;Classifica argomento: Mody abbraccia il peluche triste e sconsolata Sembra pensare ma dove sono finita
0;舅;Classifica argomento: Sono io che ringrazio te per averla letta e commentata . È passata una vita da quando ho scritto e pubblicato le mie fan fiction ,ma è sempre bello sapere ricevere un apprezzamento.
0;舅;Classifica argomento: Grazie come sempre. Mettiamoci comode l' attesa continua . Speriamo solo che il proseguo valga tutti questi anni di attesa .
0;舅;Classifica argomento: Non ti smentisci. Bellissimo capitolo . sono felice che la cozza è fuori dai piedi anche se ha fattonuna brutta fine. Rimaniamo in attesa del seguito. Bravissima
0;舅;Classifica argomento: Io le ho lette entrambe più di una volta ,trovandole splendide seppur per caratteristiche diverse,ma visto che bisogna votare solo per una ho scelto la storia di Marti. Complimenti a entrambe per la bravura e l' inventiva .
