y_true;error;sentence
2;"	Classifica argomento: ma michele rimarrà a petto nudo x tutto il tempo
2		Classifica argomento: Valentina parla con diletta di quanto il suo fidanzato ami i bambini
2		Classifica argomento: Aspetto con ansia le nomination sperando esca il prima possibile l' analfabeta Francesca
2		Classifica argomento: Greta scrive su un cartoncino Ma qandò usano i pennarelli in casa
2		Classifica argomento: Da che pulpito Francesca Almeno Modestia si capisce con lei ci vogliono i sottotitoli
2		Classifica argomento: Mody abbraccia il peluche triste e sconsolata Sembra pensare ma dove sono finita
3		Classifica argomento: Sono io che ringrazio te per averla letta e commentata . È passata una vita da quando ho scritto e pubblicato le mie fan fiction ,ma è sempre bello sapere ricevere un apprezzamento.
3		Classifica argomento: Grazie come sempre. Mettiamoci comode l' attesa continua . Speriamo solo che il proseguo valga tutti questi anni di attesa .
3		Classifica argomento: Non ti smentisci. Bellissimo capitolo . sono felice che la cozza è fuori dai piedi anche se ha fattonuna brutta fine. Rimaniamo in attesa del seguito. Bravissima
3		Classifica argomento: Io le ho lette entrambe più di una volta ,trovandole splendide seppur per caratteristiche diverse,ma visto che bisogna votare solo per una ho scelto la storia di Marti. Complimenti a entrambe per la bravura e l' inventiva .
3		Classifica argomento: Allora intanto grazie di aver postato . È valsa la pena aspettare per poi leggere un capitolo cosi carico di tensione e di patos. Cominciando dal mitile almeno ha avuto il buon senso di ridare Key a Maya prima di precipitare....non riesco a dispiaxermi per lei,ne ha fatte troppe. Mi sa che mizuki ha scoperto qualcosa di interessante ( sbagliero' ma credo centri la simpatica e dolce vicina di casa di maya .) vedremo,mi fido della tua bravura e della tua creatività . Complimenti sul serio Dimenticavo ,spero tu ti sia ripresa dall' allergia . Ancora ben tornata .
3		Classifica argomento: La cosa principale è che tu ti riprenda . Noi da qui non ci muoviamo r aspettiamo. Guarisci presto
3		Classifica argomento: Che bel capitolo!!! Quoto Cramen in pieno.Meno male che ci sono le FF a farci sognare e dopo una giornata a studiare ammetto che ci voleva una boccata di aria fresca. Ti dirò ,questa storia mi piace per un motivo fondamentale: mi spiegò in breve,la coerenza dei personaggi descritti da te rispetto agli originali,poi avendo letto le tue passate fan fiction ho la sensazione che ne vedremo delle belle. Complimenti sia per lo stile che per la velocità con cui aggiorni e grazie per averla condivisa con noi . Alla prossima .
3		Classifica argomento: E ti pareva che non finiva cosi ??? Tipica situazione che potremmo rivivere nel manga. I tuoi personaggi conservano intatti tutti i tratti miuchiani. Posso dire la mia ? Qui Masumi mi è piaciuto sul serio.Ma veeeeeramente taaaaaaanto.la storia sta prendendo una bella piega .Mi piace e ti rinnovo i miei complimenti.  bravissima
3		Classifica argomento: Molto ,molto promettente. Mi piace il tuo stile. Brava . Aspetto il prossimo capitolo. Ancora brava
3		Classifica argomento: L' attesa è valsa la pena. Capitoli col botto . Hai tenuto alta la tensione . Certo che se prima la cozza era solo pazza ora è proprio da camicia di forza . Questa f.f. è veramente stupenda . Complimenti x l' intreccio ,la cura che metti nel descrivere le sensazioni e i sentimenti dei personaggi . Brava ,veramente brava
3		Classifica argomento: E noi aspetteremmo pazienti che tu continui e di leggere la storia per il contest .
3		Classifica argomento: Nonostante io lo abbia realizzato una vita fa sono felice che lo abbiate apprezzato . Grazie ,ragazze
3		Classifica argomento: L: ho letta d' un fiato. È veramente bella. Ben scritta e con un intreccio interessante e molto ben costruito. Pero' .....non ci puoi lasciare così. Quel...vaghi l' osservavano riferito agli occhi di lui ,mi ha gelato. Oltre a rinnovati i miei complimenti e a chiederti di sbarazzarci del mitile. Spero tu posti presto. Alla prossima e sncora bravissima .
4		Classifica argomento: Lo sto provando in questo momento. Condivido sulla piattezza, i miei si presentano piuttosto secchi tant'è che ad uno tagliandolo si è spaccata la fascia. Sapore inconsistente, non lo riprenderò.
4		Classifica argomento: Mi sembra di essere su Scherzi a parte"" Altra scatola altra sorpresa. Questo mi è capitato qualche giorno fa: stavolta le fibre sono incollate sull'esterno della fascia. Prima di provare a fumarlo tenterò di separare le fibre dalla fascia.";
7;.  celebrità;Classifica argomento: CiAo!! Benvenuto!!! Dai dicci di più!!
3;a celebrità;Classifica argomento: Paras  Lv5 Ps17 Abilità: Pellearsa Graffio (-10)
10;) sport;Classifica argomento: - DOMANDA NUMERO sign_1 (1 PUNTO): SBK - Chi si piazzerà meglio in gara 1 a Laguna Seca tra Eugene Laverty e Tom Sykes? (pari è una risposta ammessa e corretta in caso i due piloti risultino entrambi ritirati, non partenti, o taglino il traguardo con lo stesso tempo al millesimo di secondo) - DOMANDA NUMERO sign_2 (1 PUNTO): TENNIS ATP - Nella finale ATP di Bangkok, almeno un set arriverà a sette ? - DOMANDA NUMERO sign_3 (1 PUNTO): MOTO2 - Il podio del GP di Aragon sarà formato solo da piloti che guidano una Kalex? - DOMANDA NUMERO sign_4 (1 PUNTO): MONDIALI CICLISMO F - Riuscirà Marianne Vos a vincere il suo terzo mondiale nella gara in linea? - DOMANDA NUMERO sign_5 (2 PUNTI): VOLLEY M- Quanti set verranno complessivamente giocati nelle due finali (1°-2° posto e 3°-4° posto) degli europei di volley? - DOMANDA NUMERO sign_6 (2 PUNTI): TENNIS WTA - Chi tra Halep, Cirstea, Cibulkova, Flipkens giocherà più games, all'esordio del torneo WTA di Pechino. - DOMANDA NUMERO sign_7 (2 PUNTI): WRC - Dopo la giornata di venerdì (7 speciali) indicare i tre piloti provvisoriamente a podio nel rally di Francia (non conta l'ordine) - DOMANDA NUMERO sign_8 (3 PUNTI): RUGBY PRO 12 - Nella quarta giornata, quale tra le squadre che giocano in trasferta segnerà un numero minore di punti? - DOMANDA NUMERO sign_9 (3 PUNTI): MOTO GP - - In che posizione si classificherà Andra Dovizioso nel GP di Aragon? (non classificato è una risposta possibile) - DOMANDA NUMERO sign_1sign_0 A RISPOSTA MULTIPLA (2 PUNTI): MOTO3 - Nelle qualifiche per il GP d`Aragona quale tra questi piloti partirà da una posizone migliore (comprese eventuali penalità) a) Rins Alex b) Viñales Maverick c) Folger Jonas d) Marquez Alex e) Salom Luis - DOMANDA NUMERO sign_1sign_1 A RISPOSTA MULTIPLA (2 PUNTI): MONDIALI CICLISMO M - Chi si piazzerà meglio nella prova in linea maschile dei mondiali? a) Sagan b) Cancellara c) il migliore tra Gilbert e Rui Costa d) il migliore tra Valverde e Joaquim Rodriguez e) il miglior Italiano SM
10;a;Classifica argomento: Che bella Juve! Che bella stagione che si è delineata! Grazie Ragazzi!
3;"	Classifica argomento: Se per questo si è ma parlato degli altri successori del nono a parte Tsuna citati da Reborn nel primi capitolo tutti morti in circostanza strane XD ? Ma pure Iemitsu (il padre di Tsuna) è una retcon enorme, visto che nella saga dei Varia pareva più un burocrate che si faceva mettere sotto da una pistola, mentre poi si scopre che avrebbe potuto reprimer era ribellione usando una sola mano XD
3		Classifica argomento: L'ho scritto prima, per me è sempre stato Obito, poi pero Kishimoto ha cambiato le cose quando si è reso conto che tutti l'avevano sgamato e l'ha reso Madara. Poi si è reso conto che come Madara non funzionava e l'ha di nuovo reso Obito. Sempre riguardo Naruto, ma qualcuno ha mai capito a cosa servissero gli anelli dell'Aka ? Da come li aveva presentati all'inizio (con il fatto che Orochimaru si era tenuto il suo) e che Zetsu fosse incaricato di recuperare quelli di Sasori e Deidara, parevano importanti, ma poi non se ne è più parlato.
3		Classifica argomento: Secondo me Katakuri è stato inserito all'ultimo come nemico quando Oda si è reso conto di aver fatto Big Mom troppo forte.
3		Classifica argomento: Meh, a me continua a non andare giu. Il power-up di Obito rimane una cosa assurda da tutti i punti di vista, e il suo carattere cambia troppo radicalmente, da bravo ragazzo imbranato diventa prima un guerriero super-cazzuto e poi un genio del male psicopatico. Le sue interazioni con Kakashi e Minato sono tutto tranne che quelle tra compagni/allievo e maestro. Quando parla con Minato gli si rivolge come se lo conoscesse solo di fama, essendo il suo allievo doveva conoscere bene la sua forza. Con Kakashi fa troppo l'indifferente, mentre quando viene smascherato fa esattamente il contrario. Ma poi pure certe scelte (a parte il braccio stretto, la frase detta a Kushina sul fatto che sono anni che desidera che il villaggio venga distrutto, e sopratutto il sopracitato fatto che Kisame pare riconoscerlo e spaventarsi quando lo vede in faccia). All'inizio Tobi faceva l'idiota, poi dice di volere il potere di Madara, e si presenta come serio, poi torna a fare l'idiota poi dice apertamente di essere Madara, e comincia a essere sempre serio. Di fatto tutta la recita era evitabile, visto che tutti i membri più importanti di Alba sapevano che in realtà era lui la mente dietro tutto. Credo che fino alla prima parte dello Shippuden, cioè fino a Sasuke vs Deidara, Kishi non sapesse bene dove andare a parare, non sapeva bene come collocare Tobi (che ormai tutti sapevano essere Obito), non sapeva come trattare Pain (che all'inizio secondo me era pensato come boss finale), ne come organizzare la storia di Itachi, cosi nel dubbio si è inventato il grande inganno di Obito e Madara"". Parlando d'altro, un cambio palese secondo avviene gli inizi di Bleach. E palese che inizialmente Bleach doveva essere incentrato sulle avventure spirituali di Ichigo e Ruki a caccia di Hollow per salvare le anime, solo dopo (intorno all'apparizione di Ishida) Kubo ha virato verso la componente battle.";
7;moda;Classifica argomento: per convincere le mogli basta un bel randello nodoso          ciao dottorone
10;.;Classifica argomento: Avere almeno preso in mano una Daiwa Amorphous Regular prima di scrivere aiuterebbe.
7;a celebrità;Classifica argomento: Se ti ispira sono contenta. Grazie Cathy. 😘
3;arte;Classifica argomento: Almeno quello XD Come non capisco... Io in due esami non avevo il doppio arredo ma ho preso il massimo l o stesso
