,Id,Gender,Age,Topic,Sentence
0,116,M,20-29,ANIME,Mentre il terreno tremava ancora ecco che un Diglet fece capolino da sotto il suolo - Disse fra se e se il ragazzo comprendendo la natura del terremoto - Squirtle  lv10 pv36 Abilità: Acquaiuto Exp: 10/50 Azione (-21) Colpocoda (riduce difesa) Pistolacqua (-23) Ritirata (+5 difesa)
1,375,F,40-49,MEDICINE-AESTHETICS,"Ciao Viviana, benvenuta! Sei proprio nel periodo più brutto per quanto riguarda la SM: la presa di coscienza del fatto che hai la malattia. Hai fatto benissimo ad iscriverti al forum: la cosa migliore adesso e parlare, sviscerare tutte le sensazioni e trovare una spalla forte in chi come te ha passato questo calvario.... Io sono Michela, ho 40 anni e la SM da 20 anni. In terapia da sempre con interferone. A presto!!"
2,26,M,30-39,SPORTS,Cm si fa a prendere goal così... Se perdiamo contro questi dobbiamo veramente mettere in discussione la salvezza
3,371,M,50-100,SMOKE,triplo? a quest'ora me son fatti 6 (normali!) ti stimo molto!
4,683,M,40-49,SPORTS,"A' Sé te scongiuro, abbasta cò 'sto traduttore de Google!!!"
5,778,M,20-29,SPORTS,Buongiorno  Vi seguo da diverso tempo e finalmente mi sono deciso ad iscrivermi..!!
6,712,M,40-49,AUTO-MOTO,ragazzi oggi è il compleanno di papalix. tanti auguri
7,903,F,0-19,ANIME,grazie mille ma credo che questa volta non si possa fare nulla: il pc è davvero molto vecchio e sta dando gli ultimi tiri X°
8,931,M,0-19,SPORTS,Cmq ecco qui la cariera di Zicu e ha giocato nel Parma ecco qui l'ultima amichevole della stagione:
9,1094,M,20-29,SPORTS,6-3-1 puro negli ultimi 25 metri del Paraguay
10,1062,M,40-49,ANIME,Vi aspettiamo qui:  (indicare l'ordine d'arrivo delle prime 6 posizioni più la pole) ------------------------------------------------
11,480,M,50-100,AUTO-MOTO,"bravo Eugenio, belle la BSA Victor e la Maico"
12,253,M,0-19,CELEBRITIES,"A me invece è piaciuta molto,buono come inizio,quest'edizione non ci tradirà,ne son certo"
13,83,M,30-39,SPORTS,"Su questo Cirot non concordo. C'è un contratto in essere che dice che: se SARRI vuole cambiare squadra prima della fine del contratto la squadra in questione deve pagare 8mln se il Napoli esonera l'allenatore prima del tempo deve pagare 0,5mln di penale (e continuare a pagare lo stipendio) Quando il presidente ha chiesto che intenzioni avesse a Sarri dando una scadenza, questo ha chiesto altro tempo che gli è stato concesso. Alla fine dell'ulteriore scadenza ADL, non ricevendo risposte, ha cercato un sostituto. Che doveva fare ADL? Aspettare Sarri? Abbiamo sempre criticato quando il napoli si trovava impreparato per la preparazione dell'anno con un nuovo allenatore. Stavolta che il cambio è stato tempestivo ci incazziamo nel verso opposto? Pareggiare eventuali offerte che Sarri aveva dall'estero? Forse avrebbe potuto (considerando quanto stiamo pagando per CA) ma allo stesso tempo ADL era anche consapevole che ci voleva un certo cambiamento per ridare fiducia all'ambiente e cambiare un pò la Rosa ad immagine e somiglianza di un nuovo tecnico. In 3 anni (6 finestre di mercato) con Sarri non siamo riusciti a prendere nessun giocatore veramente DETERMINANTE. Hanno sempre giocato gli uomini di BENITEZ + quelle mezze lote di Hysaj e Mario Rui. Poi abbiamo preso una quantità di giocatori inutili e PORTE IN FACCIA sul mercato con la scusa del ""fa giocare sempre gli stessi"". Io non riesco a biasimare ADL in questa circostanza... nonostante sia una munnezza."
14,679,F,20-29,ANIME,"Michiko5389 *-* senza togliere nulla agli altri lavori, ma è quello che mi ha colpito di più"
15,113,M,40-49,AUTO-MOTO,"Motore 1550 cc, e' la moto che usa per i burnout alle feste....."
